Author,Title,Sourcetitle,Volume,Issue,Pagestart,Pageend
"Chang, M. H., Moonesinghe, R., & Truman, B."," Associations of urban-rural residence, race/ethnicity, opioid use disorder, and HIV infection among Medicare beneficiaries—United States, 2017. ", J Acquir Immune Defic Syndr,,,24,28
"Rasmussen, C.","""a Web of tension"": The 1967 protests in New Brunswick, New Jersey",Journal of Urban History,40,1,137,157
"Matthieu, M.M.; Ounpraseuth, S.T.; Williams, J.S.; Hu, B.; Adkins, D.A.; Taylor, L.D.; Oliver, C.M.; Smith, R.M.; Painter, J.T.; McCullough, J.A.; Garner, K.K.","""Advancing"" Advance Care Planning to Veterans in the Veterans Health Administration",Military Medicine,188,4-Mar,786,791
"Bellinger, L. Boyd","""All Are Welcome""? Unpacking Struggles for Hegemony in Urban Public Libraries",Dissertations & Theses,,,,
"Fine, M.; Freudenberg, N.; Payne, Y.; Perkins, T.; Smith, K.; Wanzer, K.","""Anything can happen with police around"": Urban youth evaluate strategies of surveillance in public places",Journal of Social Issues,59,1,141,158
"Cousin, L.; Johnson-Mallard, V.; Booker, S.Q.","""be Strong My Sista'"": Sentiments of Strength from Black Women with Chronic Pain Living in the Deep South",Advances in Nursing Science,45,2,127,142
"ANDERSON, TAMSEN","""Beautiful New Homes"".",Indiana Magazine of History,109,3,185,223
"Rhodes, K.V.; Lauderdale, D.S.; He, T.; Howes, D.S.; Levinson, W.","""Between me and the computer"": Increased detection of intimate partner violence using a computer questionnaire",Annals of Emergency Medicine,40,5,476,484
"Marciano, R.J.; Allen, R.C.; Hou, C.-Y.; Lach, P.R.","""Big historical data"" feature extraction",Journal of Map and Geography Libraries,9,2-Jan,69,80
"Seligman, A.I.","""but Burn-No"": The rest of the crowd in three civil disorders in 1960s Chicago",Journal of Urban History,37,2,230,255
"Wilson-Poe, Chanelle E.","""Can We Talk?"": Cultivating Racial Literacy through Inquiry with Teacher Candidates",Dissertations & Theses,,,,
"Harding, H.A.","""City girl"" A portrait of a successful white urban teacher",Qualitative Inquiry,11,1,52,80
"Gottlieb, D.","""Closer to heaven"": Race and diversity in Suburban America",Journal of Urban History,41,5,927,935
"Wilson, G.; Nielsen, A.L.","""color coding"" and support for social policy spending: Assessing the parameters among whites",Annals of the American Academy of Political and Social Science,634,1,174,189
"Glanz, K.","""creative maladjustment"" in the West Baltimore uprising","Psychoanalysis, Culture and Society",22,4,383,400
"Tyner, J.A.","""Defend the Ghetto"": Space and the urban politics of the Black Panther Party",Annals of the Association of American Geographers,96,1,105,118
"Cheng, W.","""Diversity"" on main street? Branding race and place in the new ""Majority-Minority"" Suburbs",Identities,17,5,458,486
"Beckett, B.I.","""doomed by the Confusion in Their Design"": Racialized Urban Space, Redlining, and Monolithic Whiteness in Paule Marshall's Brown Girl, Brownstones",MELUS,47,1,200,225
"Morgan Parmett, Helen","""Down in the ""Treme"""": Media's Spatial Practices and the (Re)Birth of a Neighborhood After Katrina",Dissertations & Theses,,,,
"Navitski, R.","""Ese pequeño arte que tanto amamos"": Remediating cinema in El Universal Ilustrado; ""Ese pequeño arte que tanto amamos"": Remediating cinema in el universal ilustrado",Revista de Estudios Hispanicos,50,2,293,320
"Janak, Edward A.","""Ethnically Qualified"": Race, Merit, and the Selection of Urban Teachers, 1920-1980.",H-Net Reviews in the Humanities & Social Sciences,,,1,4
"Perry, N.; Reybold, L.E.; Waters, N.","""Everybody was looking for a good government job"": Occupational choice during segregation in arlington, Virginia",Journal of Urban History,40,4,719,741
"Lovell, K.N.","""Everyone gets a blister"": Sexism, gender empowerment, and race in the people's park movement",WSQ,46,4-Mar,103,119
"Lindholm, M.; Ryan, D.; Kadushin, C.; Saxe, L.; Brodsky, A.","""Fighting back"" against substance abuse: The structure and function of community coalitions",Human Organization,63,3,265,275
"Pruitt, B.","""For the advancement of the race"" The Great Migrations to Houston, Texas, 1914-1942",Journal of Urban History,31,4,435,478
"Battey, D.","""Good"" mathematics teaching for students of color and those in poverty: The importance of relational interactions within instruction",Educational Studies in Mathematics,82,1,125,144
"Nobles, M.","""Here a ghetto, there a ghetto"": The value and peril of comparative study",Urban Geography,31,2,158,161
"Nanín, J.; Osubu, T.; Walker, J.; Powell, B.; Powell, D.; Parsons, J.","""HIV is still real"": Perceptions of HIV testing and HIV prevention among black men who have sex with men in New York City",American Journal of Men's Health,3,2,150,164
"Staiger, A.","""Hoes can be hoed out, players can be played out, but pimp is for life"" - The pimp phenomenon as strategy of identity formation",Symbolic Interaction,28,3,407,428
"Ling, H.","""Hop Alley"": Myth and reality of the St. Louis Chinatown, 1860s-1930s",Journal of Urban History,28,2,184,219
"Gillam, R.","""I Africanize São Paulo"": Vision, race, and afro-paulistano visual culture",Journal of Global South Studies,38,1,107,124
"Yu, S.","""I am like a deaf, dumb and blind person"": Mobility and immobility of Chinese (im)migrants in Flushing, Queens, New York City",Journal of Transport Geography,54,,10,21
"Vavrus, F.; Cole, K.","""I didn't do nothin'"": The discursive construction of school suspension",Urban Review,34,2,87,111
"Frye, V.; Egan, J.E.; van Tieu, H.V.; Cerdá, M.; Ompad, D.; Koblin, B.A.","""I didn't think I could get out of the fucking park."" Gay men's retrospective accounts of neighborhood space, emerging sexuality andmigrations",Social Science and Medicine,104,,6,14
"Rodriguez, Sophia","""I do activist things even though I'm nothing"": A critical ethnography of immigrant youth identity formation in an urban community-school",Dissertations & Theses,,,,
"Christianakis, M.","""I don't need your help!"" peer status, race, and gender during peer writing interactions",Journal of Literacy Research,42,4,418,458
"Graham, A.; Erwin, K.D.","""I don't think Black men teach because how they get treated as students"": High-achieving African American boys' perceptions of teaching as a career option",Journal of Negro Education,80,3,398,416
